,sent,CODA
1311,ما حاسي كويس ممكن تقترح طبيب,ما حاسي كويس ممكن تقترح طبيب
1312,الطرف التاني في الخط اتفضل,الطرف الثاني في الخط اتفضل
1313,هل هناك عرض طابق,هل هناك عرض طابق
1314,الحمام ما بدفق,الحمام ما بدفق
1315,كم من الزمن بتاخد من هنا للسيتي هول بالارجل,كم من الزمن بتاخد من هنا للسيتي هول بالارجل
1316,اخد الدواء دا بعد كل وجبة لمن اوجع شديد,اخد الدواء دا بعد كل وجبة لمن اوجع شديد
1317,انت بتخت القروش في ظرف خاص مزخرف البسموه شوقيبوكورو,انت بتخت القروش في ظرف خاص مزخرف البسموه شوقيبوكورو
1318,في زول اتاذي,في زول اتاذي
1319,بفكر مفروض اجيب ليه شنو,بفكر مفروض اجيب ليه شنو
1320,هل عندك خريطة للمترو,هل عندك خريطة للمترو
1321,عندي غرفة جاهزة ليك في القراند هوتل ممكن تمشي هناك,عندي غرفة جاهزة ليك في القراند هوتل ممكن تمشي هناك
1322,عندي وجع في عيني اليمين,عندي وجع في عيني اليمين
1323,انا ما كويس شديد في الألماني,انا ما كويس شديد في الألماني
1324,نحن بالتأكيد مفروض نرجع سواء تاني,نحن بالتأكيد مفروض نرجع سوا ثاني
1325,ممكن تضيق السروال دا,ممكن تضيق السروال ده
1326,ممكن استلف مضارب و كورة,ممكن استلف مضارب و كورة
1327,ممكن تحت شوية فكة,ممكن تحت شوية فكة
1328,ممكن اشيل نص قزازة,ممكن اشيل نص قزازة
1329,هاي انا جن,هاي انا جن
1330,ناكاي,ناكاي
1331,هل بتمانع اذا اخدت صورة ليك و لتكسيك,هل بتمانع اذا اخدت صورة ليك و لي تكسيك
1332,اتصلت عن شنطة ضايعة قبل تلاتة ايام,اتصلت عن شنطة ضايعة قبل ثلاثة ايام
1333,داير فندق ارخص,داير فندق ارخص
1334,اوه هناك حاجات كتيرة مفروض تشوفها في قرينوتش فيليج,اوه هناك حاجات كثيرة مفروض تشوفها في قرينوتش فيليج
1335,في الشغل عندي صلات شغل هناك,في الشغل عندي صلات شغل هناك
1336,هو جاي مع بدلتك,هو جاي مع بدلتك
1337,ممكن من فضلك تخلي بالك لشنطتي,ممكن من فضلك تخلي بالك لي شنطتي
1338,رايك في الفكرة دي شنو نحن بنقبل بي شرطك بتاع ستة شهور شرطا انو تضمن لينا الحق للبيع لستة شهور بعد نهاية العقد,رايك في الفكرة دي شنو نحن بنقبل بي شرطك بتاع ستة شهور شرطا انو تضمن لينا الحق للبيع لي ستة شهور بعد نهاية العقد
1339,اعذرني هل انت بتعرف نيويورك كويس,اعذرني هل انت بتعرف نيويورك كويس
1340,ح ننتظر من فضلك كلمنا لم تجهز,حننتظر من فضلك كلمنا لم تجهز
1341,داير اقابل جراح,داير اقابل جراح
1342,هل ديل مكونات طبيعية,هل ديل مكونات طبيعية
1343,داير اركب عربية رياضية,داير اركب عربية رياضية
1344,كود المنطقة صفر تلاتة الرقم تلاتة واحد تلاتة اربعة خمسة ستة سبعة,كود المنطقة صفر ثلاثة الرقم ثلاثة واحد ثلاثة اربعة خمسة ستة سبعة
1345,هو عانى من نزلة,هو عانى من نزلة
1346,ميثاق ثانوي ح يكون احسن,ميثاق ثانوي حيكون أحسن
1347,داير ارسل دا بالتسليم العام,داير ارسل ده بالتسليم العام
1348,خليني احول المكالمة دي للزول المسؤول,خليني احول المكالمة دي للزول المسؤول
1349,ياتو مقاس انت داير,ياتو مقاس انت داير
1350,اوه حبيبي ما لاحظت اني لسه عندي ديلك,اوه حبيبي ما لاحظت اني لسه عندي ديلك
1351,هل عندك صناديق لحزم الارسال,هل عندك صناديق لي حزم الارسال
1352,هل الخطوط الجوية ح تدفع لفندقي و تكاليف الوجبة,هل الخطوط الجوية حتدفع لي فندقي و تكاليف الوجبة
1353,هل ديل كلهم شنطك,هل ديل كلهم شنطك
1354,كيف تتمني تعمل المكالمة,كيف تتمني تعمل المكالمة
1355,تمام هو غالي ما مصنوع في اليابان ول لا,تمام هو غالي ما مصنوع في اليابان ولا لأ
1356,ممكن من فضلك تمرر لي الملح,ممكن من فضلك تمرر لي الملح
1357,وين اقرب كافيتريا من الفندق دا,وين اقرب كافيتريا من الفندق ده
1358,داير شامبو لشعر طبيعي,داير شامبو لي شعر طبيعي
1359,متين بتعتقد ح يتلقي,متين بتعتقد حيتلقي
1360,بتمنى ليك سنة جديدة سعيدة,بتمنى ليك سنة جديدة سعيدة
1361,ح يكون عندي اسبرايت كبير,حيكون عندي اسبرايت كبير
1362,من فضلك قوله تاني ببطء اكتر,من فضلك قوله ثاني بي بطء اكثر
1363,اعذرني داير اطلب,اعذرني داير اطلب
1364,عندنا جمبري نيوبيرق و فخد ضان مشوي,عندنا جمبري نيوبيرق و فخد ضان مشوي
1365,داير غرفة بي منظر جميل,داير غرفة بي منظر جميل
1366,تلاتة قزازات بتاعت عصير بطيخ من فضلك,ثلاثة قزازات بتاعة عصير بطيخ من فضلك
1367,عندي تلاتة اطفال,عندي ثلاثة اطفال
1368,امشي دغري بالهول دا و لف شمال في الكورنة ح تشوفه في يمينك,امشي دغري بالهول ده و لف شمال في الكورنة حتشوفه في يمينك
1369,هل هي جولة يوم كامل,هل هي جولة يوم كامل
1370,كم بتكلف تزكرة ذهاب واياب لاكسفورد,كم بتكلف تزكرة ذهاب و اياب لي اكسفورد
1371,بمشي لنادي رياضي كل يومين,بمشي لي نادي رياضي كل يومين
1372,وين ممكن اقعد خلال الجولة,وين ممكن اقعد خلال الجولة
1373,متين زمن الخروج,متين زمن الخروج
1374,كم رسوم المرشد لليوم,كم رسوم المرشد لليوم
1375,وين ممكن القى سيديهات,وين ممكن القى سيديهات
1376,اعذرني انا طالب كلية من اليابان هل انت طالب ان واي يو,اعذرني انا طالب كلية من اليابان هل انت طالب ان واي يو
1377,ممكن تورينا كيف انت قيمت الفكرة دي,ممكن تورينا كيف انت قيمت الفكرة دي
1378,اكي هل انت بتعرف دكان تسجيل كويس قريب هنا,اكي هل انت بتعرف دكان تسجيل كويس قريب هنا
1379,كاش ول شحن,كاش ولا شحن
1380,شغال لشركة تجارية,شغال لي شركة تجارية
1381,دا عدم تهذيب تسأل الناس بجنوا كم,دا عدم تهذيب تسأل الناس دخلهم كم
1382,هل ديل ليفايس خمسمية وواحد اصليات,هل ديل ليفايس خمسمية وواحد اصليات
1383,متين ممكن اخد حمام,متين ممكن اخد حمام
1384,ما شكلك فوق الواحد و عشرين سنة,ما شكلك فوق الواحد و عشرين سنة
1385,فهمتفي الحقيقة فيه فلم سرعة عالية هل بتمانع اذا طلعتو,فهمتفي الحقيقة فيه فلم سرعة عالية هل بتمانع اذا طلعته
1386,اشتريته قبل شوية,اشتريته قبل شوية
1387,ح اجيب واحد اسي,حاجيب واحد اسي
1388,تمنية دولارات و بجي واحد اسى,ثمانية دولارات و بجي واحد اسي
1389,من فضلك وريه مع المشتريات للجمارك في المطار,من فضلك وريه مع المشتريات للجمارك في المطار
1390,ياتو دكاكين عندهم تخفيضات حاليا,ياتو دكاكين عندهم تخفيضات حاليا
1391,موظف المكالمات اديني محطة الاطفاء,موظف المكالمات اديني محطة الاطفاء
1392,عندي بطارية فاضية,عندي بطارية فاضية
1393,اقيف في التقاطع الجاي,اقيف في التقاطع الجاي
1394,اوه هندا ليه و هل لازم واحد يملأ فورمة تصريح الجمارك دي,اوه هندا ليه و هل لازم واحد يملا فورمة تصريح الجمارك دي
1395,و ممكن اشيل اسمك من فضلك,و ممكن اشيل اسمك من فضلك
1396,هل بتمانع اذا عملت مكالمة على حساب الطرف التاني,هل بتمانع اذا عملت مكالمة على حساب الطرف الثاني
1397,الو كيف انت,الو كيف انت
1398,وين قسم الترحيل,وين قسم الترحيل
1399,اسم الزول الداير تتكلم معاه منو,اسم الزول الداير تتكلم معاه منو
1400,انا آسف هو ما جوه اسي,انا آسف هو ما جوه اسي
1401,شوف دا شوف دا انت ح تقولي الفرق بين الشاب دا و الشاب داك في الحظ محمد اقيف ح تقيف انت ما بتمانع اذا نزلتك هنا انا متأخر صديق جميل ان لاقيتك اوكي,شوف دا شوف دا انت حتقولي الفرق بين الشاب دا و الشاب داك في الحظ محمد اقيف حتقيف انت ما بتمانع اذا نزلتك هنا انا متأخر صديق جميل ان لاقيتك اوكي
1402,هل غرفتك مطلة على المدينة,هل غرفتك مطلة على المدينة
1403,اي رسائل لي,اي رسائل لي
1404,لسه غالي شديد ما ممكن اشيله بتلاتة دولارات,لسه غالي شديد ما ممكن اشيله بي ثلاثة دولارات
1405,دائرين غرفة في الخلف,دايرين غرفة في الخلف
1406,ح اخد قزازة خمرة,حاخد قزازة خمرة
1407,شكلك جميل,شكلك جميل
1408,داير غرفة مزدوجة كم سعر الغرفة لليلة,داير غرفة مزدوجة كم سعر الغرفة لليلة
1409,هو على بعد تسعة وتسعين ميل,هو على بعد تسعة وتسعين ميل
1410,فينس و ليندا دايرين يقعدوا براهم عشان كدا آسف لازم اقعد هنا الليلة,فينس و ليندا دايرين يقعدوا براهم عشان كده آسف لازم اقعد هنا الليلة
1411,من فضلك خت العفش دا مربوط,من فضلك خت العفش ده مربوط
1412,اسمي ساتو,اسمي ساتو
1413,انا بعرف نادي جاز قديم وسط المدينة,انا بعرف نادي جاز قديم وسط المدينة
1414,ح اخد الوجبة الثابتة دي,حاخد الوجبة الثابتة دي
1415,داير اجرب نفس الصحن داك,داير اجرب نفس الصحن داك
1416,بعدين ح نشيله,بعدين حنشيله
1417,هل دا بمشي فوق للطابق السادس,هل ده بمشي فوق للطابق السادس
1418,جلد تمساح,جلد تمساح
1419,من فضلك خته في شنطة غسيل و خليه هناك,من فضلك خته في شنطة غسيل و خليه هناك
1420,داير الفلم دا يتطور متين ح يكون جاهز,داير الفلم ده يتطور متين حيكون جاهز
1421,من فضلك ما تدي المفتاح دا لأي زول تاني غيري,من فضلك ما تدي المفتاح ده لي أي زول ثاني غيري
1422,اوكي ح ارفعك من فندقك الساعة تمنية,اوكي حارفعك من فندقك الساعة ثمانية
1423,شباك تمام,شباك تمام
1424,خلي قصتي لتحت لو سمحت,خلي قصتي لي تحت لو سمحت
1425,هل كل مصروفات الترحيل اتضمنت,هل كل مصروفات الترحيل اتضمنت
1426,منزل ميتروبولتان اوبرا,منزل ميتروبولتان اوبرا
1427,وين مكتب تأجير العربات,وين مكتب تأجير العربات
1428,انا محموم من امبارح بالليل,انا محموم من امبارح بالليل
1429,دا ما بناسب ذوقي,ده ما بناسب ذوقي
1430,عندك ياتو خضروات,عندك ياتو خضروات
1431,داير كيرلي خفيف,داير كيرلي خفيف
1432,متين بجي الدكتور,متين بجي الدكتور
1433,هو اللون الغلط,هو اللون الغلط
1434,السن اتكسرت,السن اتكسرت
1435,هل دا مقعد ممر ول مقعد شباك,هل ده مقعد ممر ولا مقعد شباك
1436,انا قاعد اتمشى,انا قاعد اتمشى
1437,بتقدر توصل شنطتي للغرفة,بتقدر توصل شنطتي للغرفة
1438,وريني واحد لسيدة شابة,وريني واحد لسيدة شابة
1439,ممكن تقيف هنا,ممكن تقيف هنا
1440,عندك اي شي بحوالي تمنين دولار بالظبط,عندك اي شي بي حوالي ثمانين دولار بالظبط
1441,انا عطشان,انا عطشان
1442,لبن لا من فضلك,لبن لا من فضلك
1443,عندي تلات شنط,عندي ثلاث شنط
1444,وين البحيرة,وين البحيرة
1445,اعزرني اضغط زر التصوير من فضلك,اعزرني اضغط زر التصوير من فضلك
1446,ممكن اخد مجلة ول حاجة,ممكن اخد مجلة ولا حاجة
1447,هو الجنوب,هو الجنوب
1448,كم سعر مقاعد البلكونة,كم سعر مقاعد البلكونة
1449,دايرين غرفة كاشفة البحيرة,دايرين غرفة كاشفة البحيرة
1450,هل في صناديق بريد قريب من هنا,هل في صناديق بريد قريب من هنا
1451,كله تمام ح آخدك هناك,كله تمام حاخدك هناك
1452,الجزء المكتوب بميل يشير للتغييرات في تسعينات القرن العشرين,الجزء المكتوب بميل يشير للتغييرات في تسعينات القرن العشرين
1453,عمره تلاتين سنة,عمره ثلاثين سنة
1454,كله تمام ممكن تكتب العنوان مرة تانية في الظرف دا,كله تمام ممكن تكتب العنوان مرة ثانية في الظرف ده
1455,داير امشي لي الهارودس ممكن ترسم خريطة من فضلك,داير امشي لي الهارودس ممكن ترسم خريطة من فضلك
1456,بتعمل شنو لمن يكون عندك وقت فاضي,بتعمل شنو لمن يكون عندك وقت فاضي
1457,هل عندك بطاريات للكاميرا دي,هل عندك بطاريات للكاميرا دي
1458,داير كيبل للتصوير عن بعد,داير كيبل للتصوير عن بعد
1459,هل انت الأخير في الصف,هل انت الأخير في الصف
1460,اعتقد انه محجوز زيادة,اعتقد انه محجوز زيادة
1461,شوتة سمحة بس برة,شوتة سمحة بس برة
1462,ممكن توريني الاماكن المهمة هنا,ممكن توريني الاماكن المهمة هنا
1463,هل في اي بقالات قريبة من هنا,هل في اي بقالات قريبة من هنا
1464,انا برضو,انا برضو
1465,داير انضم من سان دييغو,داير انضم من سان دييغو
1466,كنت بفكر اخد الكورس داك السمستر الجاي,كنت بفكر اخد الكورس داك السمستر الجاي
1467,الخمرة ما باردة كفاية ممكن تبردها اكتر,الخمرة ما باردة كفاية ممكن تبردها اكثر
1468,هل ممكن تبدل الحلق ده لي كليبسات,هل ممكن تبدل الحلق ده لي كليبسات
1469,شنو اكتر شي مهتم بيه الآن,شنو اكثر شي مهتم بيه الآن
1470,داير اعادة دفع  ممكن قروشي راجعة,داير اعادة دفع  ممكن قروشي راجعة
1471,انا احتمال ما اقدر القى مشروب زي دا في اي مكان تاني,انا احتمال ما اقدر القى مشروب زي ده في اي مكان ثاني
1472,اذا اشتريت دا برضه ح يعمل القيمة المعفاة من الضرائب,اذا اشتريت ده برضو حيعمل القيمة المعفاة من الضرائب
1473,ممكن اشوف شهادة التطعيم حقتك من فضلك,ممكن اشوف شهادة التطعيم حقتك من فضلك
1474,هل انت بتسافر كتير,هل انت بتسافر كثير
1475,انا جاي من الولايات المتحدة,انا جاي من الولايات المتحدة
1476,عندي تزكرة جوية لسان فرانسيسكو,عندي تزكرة جوية لي سان فرانسيسكو
1477,اذا هو فقط خمسين دقيقة من المحطة اذا ح امشي,اذا هو فقط خمسين دقيقة من المحطة اذا حامشي
1478,داير فندق ارخص شوية,داير فندق ارخص شوية
1479,بونساي شكلها زي هواية زول قديم,بونساي شكلها زي هواية زول قديم
1480,ما قررت لسة ممكن تديني زمن اكتر شوية,ما قررت لسا ممكن تديني زمن اكثر شوية
1481,عندي صداع,عندي صداع
1482,ممكن تنضم لي لقهوة,ممكن تنضم لي لي قهوة
1483,داير شهادة طبية و ايصال لتأميني,داير شهادة طبية و ايصال لي تأميني
1484,اوه لا من فضلك اسرع نحن متأخرين,اوه لا من فضلك اسرع نحن متأخرين
1485,ما داير انفق اكتر من عشرين دولار,ما داير انفق اكثر من عشرين دولار
1486,لي الرحلة ما بتقلع وريني الحاصل شنو,لي الرحلة ما بتقلع وريني الحاصل شنو
1487,كم سعر الأجرة ممكن تكتب الأجرة برة في قطعة ورقة,كم سعر الأجرة ممكن تكتب الأجرة برة في قطعة ورقة
1488,دير اأجر كرسي سطح,دير اأجر كرسي سطح
1489,انتظر دقيقة من فضلك,انتظر دقيقة من فضلك
1490,هل مفروض السيدات يلبسوا فساتين رسمية,هل مفروض السيدات يلبسوا فساتين رسمية
1491,ما تهبشني,ما تهبشني
1492,هل عندك سجائر,هل عندك سجاير
1493,اذا الهوا ما قوي شديد ممكن نمشي لي تيكي بوينت,اذا الهوا ما قوي شديد ممكن نمشي لي تيكي بوينت
1494,ممتاز,ممتاز
1495,ح اقفل الآن شكرا ليك لانتباهك,حاقفل الآن شكرا ليك لانتباهك
1496,هل عندك دا بأي لون تاني,هل عندك ده بي أي لون تاني
1497,هو منو,هو منو
1498,اعزرني ممكن توريني وين موقف التكسي,اعزرني ممكن توريني وين موقف التكسي
1499,و الشراب,و الشراب
1500,هندا ليه,هنده ليه
1501,وين اقرب متجر اجهزة,وين اقرب متجر اجهزة
1502,هممم ما شغال ولا شنو ممكن تحركه لمقعد فاضي اذا داير,هممم ما شغال ولا شنو ممكن تحركه لي مقعد فاضي اذا داير
1503,انا بفتش لي دا,انا بفتش لي ده
1504,كله تمام سيدي و تحب شنو للتحلية,كله تمام سيدي و تحب شنو للتحلية
1505,عربية عادية ولا بولمان,عربية عادية ولا بولمان
1506,شيكات سياحية  شكرا ليك  دي تزكرتك و بطاقة الركوب  كون هناك من فضلك قبل ساعة من زمن الرحلة,شيكات سياحية  شكرا ليك  دي تزكرتك و بطاقة الركوب  كون هناك من فضلك قبل ساعة من زمن الرحلة
1507,هو الم حاد,هو الم حاد
1508,الاسم جورو موتوياما و الرقم صفر تلاتة تلاتة اتنين ستة واحد اتنين اربعة تسعة خمسة,الاسم جورو موتوياما و الرقم صفر ثلاثة ثلاثة اثنين ستة واحد اثنين اربعة تسعة خمسة
1509,حاسس انى عيان جدا,حاسس اني عيان جدا
1510,"اوقات العرض حقة ""كوسيس لف"" شنو","اوقات العرض حقة ""كوسيس لف"" شنو"
1511,كلو تمام ح تاخد قهوتك اسى ولا بعدين,كلو تمام حتاخد قهوتك اسى ولا بعدين
1512,وريني اضبط نادي ريقي في نيويورك,وريني اضبط نادي ريقي في نيويورك
1513,في ياتو طريقة منتجك مختلف من منافسينك,في ياتو طريقة منتجك مختلف من منافسينك
1514,عادي ان مافي زول بسمع تعليمات الأمان,عادي ان مافي زول بسمع تعليمات الأمان
1515,هل الشارع الخلفي خطر,هل الشارع الخلفي خطر
1516,نعم من فضلك اخد الإجراء الضروري,نعم من فضلك اخد الإجراء الضروري
1517,نعم واحد بس متين ح اعرف كيف ح اكون اتعوضت,نعم واحد بس متين حاعرف كيف حاكون اتعوضت
1518,هنا بطاقتي التعريفية,هنا بطاقتي التعريفية
1519,بنفضل طربيزة على الشباك,بنفضل طربيزة على الشباك
1520,من فضلك وريني الطريقة الارخص لي سان فرانسيسكو,من فضلك وريني الطريقة الارخص لي سان فرانسيسكو
1521,هل بتعرف الكافيتيريا كيويا,هل بتعرف الكافيتيريا كيويا
1522,اتجاه واحد,اتجاه واحد
1523,انا ح ابقى سمين اذا بس قاعد هنا باكل باستمرار,انا حابقى سمين اذا بس قاعد هنا باكل باستمرار
1524,هل في نادي ليلى كويس عندو عرض فلامنجو,هل في نادي ليلي كويس عنده عرض فلامنجو
1525,داك فستان جميل فيك,داك فستان جميل فيك
1526,رجلي بتألم,رجلي بتألم
1527,وين اقرب مغسلة,وين اقرب مغسلة
1528,ممكن تبدل المقاعد معاي من فضلك,ممكن تبدل المقاعد معاي من فضلك
1529,مقاعدنا اتفصلت,مقاعدنا اتفصلت
1530,بالتأكيد داير الحزمة دي مأمنة برضه,بالتأكيد داير الحزمة دي مأمنة برضه
1531,الفاتورة تجي مية دولار,الفاتورة تجي مية دولار
1532,مخارج الطوارئ قدام في النص و ورة الطيارة دي,مخارج الطوارئ قدام في النص و ورة الطيارة دي
1533,كلو تمام حجزك تم اعادة تأكيده,كله تمام حجزك تم اعادة تأكيده
1534,الكعوب عالية شديد,الكعوب عالية شديد
1535,دايرين طربيزة في الشرفة,دايرين طربيزة في الشرفة
1536,بيعني ان الفلم احتمال ما يكون مناسب للأطفال اقل من خمستاشر عشان كدا الوالدين بحتاجوا يختوا في الاعتبار سواء يخلوا الأطفال يحضروا الفلم,بيعني ان الفلم احتمال ما يكون مناسب للأطفال اقل من خمستاشر عشان كدا الوالدين بحتاجوا يختوا في الاعتبار سواء يخلوا الأطفال يحضروا الفلم
1537,كيف داير القروش من فضلك املأ الورقة دي و وقع هنا,كيف داير القروش من فضلك املأ الورقة دي و وقع هنا
1538,احيانا بطني بتوجع,احيانا بطني بتوجع
1539,هل عندك اطباق منخفضة السعرات الحرارية انا في حمية اسى,هل عندك اطباق منخفضة السعرات الحرارية انا في حمية اسي
1540,ما ضروري الشحن,ما ضروري الشحن
1541,نعم انا عندي تزكرتين للجيانتس و دودقرس,نعم انا عندي تزكرتين للجيانتس و دودقرس
1542,نحن واحد من قمة الموردين بتاعين المايكروكمبيوترات,نحن واحد من قمة الموردين بتاعين المايكروكمبيوترات
1543,شكرا ليك انا برضه مع السلامة لغاية الوقت داك,شكرا ليك انا برضه مع السلامة لغاية الوقت داك
1544,غرفة مزدوجة مع حمام من فضلك,غرفة مزدوجة مع حمام من فضلك
1545,انا وقعت على السلالم,انا وقعت على السلالم
1546,ياتو اسكريم انت بتزكي,ياتو اسكريم انت بتزكي
1547,اممم الواحد دا اللون شكله سمح عليك,اممم الواحد ده اللون شكله سمح عليك
1548,وين كتب اللغة الأجنبية,وين كتب اللغة الأجنبية
1549,شريحتين و اسبرايت,شريحتين و اسبرايت
1550,اديني شوية سجائر,اديني شوية سجاير
1551,غير قانوني انك تجيبه في البلد - آسف  طيب اظن ده كل شي,غير قانوني انك تجيبه في البلد - آسف  طيب اظن ده كل شي
1552,نعم انا هو كانوا ساكنين جنبي في كاليفورنيا لكن رحلت لي فلوريدا قبل سنتين و انت كيف هل بتسافر براك,نعم انا هو كانوا ساكنين جنبي في كاليفورنيا لكن رحلت لي فلوريدا قبل سنتين و انت كيف هل بتسافر براك
1553,انا عيان,انا عيان
1554,طفلي شكله مرهق من الحمى,طفلي شكله مرهق من الحمى
1555,في المقاس دا من فضلك,في المقاس ده من فضلك
1556,درجات المزايا الثقافية يبدوها لفنانين وعلماء مميزين في اليوم داك,درجات المزايا الثقافية يبدوها لفنانين وعلماء مميزين في اليوم داك
1557,انا ياباني سعر الغرفة هو ستة الف ين لليلة,انا ياباني سعر الغرفة هو ستة الف ين لليلة
1558,داك غالي شديد,داك غالي شديد
1559,نعم اخد البص البمشي لي كيوتوايكي,نعم اخد البص البمشي لي كيوتوايكي
1560,هل هو للأعضاء فقط,هل هو للأعضاء فقط
1561,سعر الغرفة هو ستة الف ين لليلة,سعر الغرفة هو ستة الف ين لليلة
1562,ممكن اجيب دا في ركوب الطيارة,ممكن اجيب دا في ركوب الطيارة
1563,اوكي كل الداير اعرفه اذا كان الشغل ح يدفع مصاريفه,اوكي كل الداير اعرفه اذا كان الشغل حيدفع مصاريفه
1564,تمام داير وشاح عشان يمشي مع داك,تمام داير وشاح عشان يمشي مع داك
1565,اشحن البطاريه من فضلك,اشحن البطاريه من فضلك
1566,انا جاهز اطلب,انا جاهز اطلب
1567,املاح الحمام العشبي بتخلي بشرتك ناعمة و ملساء,املاح الحمام العشبي بتخلي بشرتك ناعمة و ملسا
1568,اكتب اسم الخطوط الجوية و رقم الرحلة برضه,اكتب اسم الخطوط الجوية و رقم الرحلة برضه
1569,حقيقة اليوم هو الأحد و الأحد اكعب يوم,حقيقة اليوم هو الأحد و الأحد اكعب يوم
1570,نعم هي مشكلة عدم تصرف,نعم هي مشكلة عدم تصرف
1571,داير الشكل دا في وضع خمسة اماكن,داير الشكل ده في وضع خمسة اماكن
1572,اسر كثيرة عندهم دخول مزدوجة,اسر كثيرة عندهم دخول مزدوجة
1573,"اوه الفضة دي نادرة ""القمر و الجرس""  اكيد داير تبادلا","اوه الفضة دي نادرة ""القمر و الجرس""  اكيد داير تبادلا"
1574,امي و اختي جايين من اليابان عشان يشوفوني  ح يصلوا حوالي سبعة في المساء,امي و اختي جايين من اليابان عشان يشوفوني  حيصلوا حوالي سبعة في المساء
1575,البني شعبي جدا السنة دي,البني شعبي جدا السنة دي
1576,فكرة جيدة متين مخطط تجي,فكرة جيدة متين مخطط تجي
1577,اوكي مقعدين من فضلك,اوكي مقعدين من فضلك
1578,وين السوق,وين السوق
1579,انا بفتش لطريقة اجرب بدلة السباق حقتي,انا بفتش لي طريقة اجرب بدلة السباق حقتي
1580,يا شباب انا قايلكم اكلتوا دونات,يا شباب انا قايلكم اكلتوا دونات
1581,كم تكلفة تزكرة درجة اولى لي ادينبيره من فضلك,كم تكلفة تزكرة درجة اولى لي ادينبيره من فضلك
1582,شكلو القروش الاديتني ليها ناقصة عشرة دولارات,شكلو القروش الاديتني ليها ناقصة عشرة دولارات
1583,انا اتصلت بي مستر اسميث في الغرفة اتنين صفر واحد لكن ما كان في رد ممكن تعرف اذا هو لسة قاعد هنا,انا اتصلت بي مستر اسميث في الغرفة اثنين صفر واحد لكن ما كان في رد ممكن تعرف اذا هو لسا قاعد هنا
1584,داير واحد حديث,داير واحد حديث
1585,انا شغال لشركة نشر,انا شغال لي شركة نشر
1586,ممكن من فضلك تملأ دا,ممكن من فضلك تملا ده
1587,ياتو شارع دا,ياتو شارع ده
1588,ممكن توزن الحزمة دي,ممكن توزن الحزمة دي
1589,داك اسمه شنو بالانجليزي,داك اسمه شنو بالانجليزي
1590,واصل المشي في الممر دا ثم ح تلقاه على الجانب اليمين,واصل المشي في الممر ده ثم حتلقاه على الجانب اليمين
1591,داير اأكد دا,داير اأكد ده
1592,صباح الخير مكتب الاستقبال ممكن اساعدك,صباح الخير مكتب الاستقبال ممكن اساعدك
1593,كلو تمام من فضلك خش,كلو تمام من فضلك خش
1594,نعم سيدي انا بجي للفطور هنا كل يوم من الاتنين للجمعة قبل ما امشي الشغل,نعم سيدي انا بجي للفطور هنا كل يوم من الاثنين للجمعة قبل ما امشي الشغل
1595,ما مشكلة,ما مشكلة
1596,من فضلك اديني تلاتة اتنين ستة اتنين تسعة واحد تمنية,من فضلك اديني ثلاتة اثنين ستة اثنين تسعة واحد ثمانية
1597,نعم ممكن نخدمك من سبعة,نعم ممكن نخدمك من سبعة
1598,من فضلك ارقد هنا,من فضلك ارقد هنا
1599,خدمة سريعة,خدمة سريعة
